COMPANY_CODE,STATE_CODE,PROGRAM_CODE,LINE_OF_BUSINESS,CITY,COUNTY_CODE,ZIP_CODE,LastOfADDRESS_LINE,LastOfCITY,LastOfSTATE_CODE,LastOfZIP_CODE,LastOfCOUNTY_CODE,PREMIUM_GROUP,TERRITORY_1_CODE
60,AL,R,25,Cottonwood,069,36320,14237 COTTONWOOD RD,COTTONWOOD,AL,36320,069,,1
60,AL,R,25,Courtland,079,35618,25475 AL HIGHWAY 33,COURTLAND,AL,35618,079,,1
60,AL,R,25,Cowarts,069,36321,598 JESTER ST,COWARTS,AL,36321,069,,1
60,AL,R,25,Coy,131,36435,,,,,,,1
60,AL,R,25,Cragford,027,36255,,,,,,,1
60,AL,R,25,Cragford,123,36255,,,,,,,1
60,AL,R,25,Crane Hill,043,35053,1442 COUNTY ROAD 937,CRANE HILL,AL,35053,043,,1
60,AL,R,25,Creola,097,36525,236 DEAD LAKE RD,CREOLA,AL,36525,097,,2
60,AL,R,25,Crestline Heights,073,35213,,,,,,,1
60,AL,R,25,Cropwell,115,35054,735 RIVER OAKS DR,CROPWELL,AL,35054,115,,1
60,AL,R,25,Crossville,049,35962,555 COUNTY ROAD 17,CROSSVILLE,AL,35962,049,,1
60,AL,R,25,Crossville,095,35962,2390 OAK GROVE RD,CROSSVILLE,AL,35962,095,,1
60,AL,R,25,Cuba,119,36907,5326 SUMTER 9,CUBA,AL,36907,119,,1
60,AL,R,25,Cullman,043,35055,274 DONAUER DRIVE SW,CULLMAN,AL,35055,043,,1
60,AL,R,25,Cullman,043,35057,138 COUNTY ROAD 420,CULLMAN,AL,35057,043,,1
60,AL,R,25,Cullman,043,35058,1845 Northcrest Dr NW,CULLMAN,AL,35058,043,,1
60,AL,R,25,Cusseta,017,36852,6501 COUNTY ROAD 388,CUSSETA,AL,36852,017,,1
60,AL,R,25,Cusseta,081,36852,11310 LEE ROAD 279,CUSSETA,AL,36852,081,,1
60,AL,R,25,Cypress,065,35474,,,,,,,1
60,AL,R,25,Dadeville,123,36853,6716 HIGHWAY 49 S,DADEVILLE,AL,36853,123,,1
60,AL,R,25,Daleville,031,36322,,,,,,,1
60,AL,R,25,Daleville,045,36322,65 PINE ST,DALEVILLE,AL,36322,045,,1
60,AL,R,25,Daleville,061,36322,5931 COUNTY ROAD 45,DALEVILLE,AL,36322,061,,1
60,AL,R,25,Danville,043,35619,,,,,,,1
60,AL,R,25,Danville,079,35619,801 COUNTY ROAD 195,DANVILLE,AL,35619,079,,1
60,AL,R,25,Danville,103,35619,460 LIBERTY RD,DANVILLE,AL,35619,103,,1
60,AL,R,25,Daphne,003,36526,27642 U S HWY 98,DAPHNE,AL,36526,003,,2
